Unnamed: 0,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
45,,Cooper BRM F2,,,,,,,,
46,Ferrari, 328 GTS Coupe 2dr Man 5sp 3.2i,22999000.0,1987.0,,,,,,
47,Ferrari, F355 Spider Convertible 2dr Man 6sp 3.5i,29999000.0,1997.0,,,,,,
48,Mercedes-Benz, 190SL R121 Roadster 2dr Man 4sp 1.9,31999000.0,1960.0,,,,,,
49,Mercedes-Benz, 280SL Pagoda,,1970.0,,,,,,
50,,Jaguar E-Type 4.2 F H Coupe,,1964.0,,,,,,
51,Porsche, 356SC Coupe 2dr Man 4sp 1600,35999000.0,1964.0,,,,,,
52,Lamborghini, Miura P400 S,,1969.0,,,,,,
53,Porsche,959,219999000.0,1987.0,,,,,,
0,AC, COBRA,70000.0,1995.0,Automatic,Used,Soft Top,Premium Unleaded,4900.0,
1,SUBARU, LIBERTY Gt,20000.0,1997.0,Manual,Used,Sedan,Unleaded,2000.0,
2,TOYOTA, CAMRY,11500.0,2016.0,Automatic,Used,Sedan,,,V6
3,FORD, CORTINA TC 2 Door,57995.0,1972.0,Manual,Used,Hardtop - Coupe,Unleaded,1600.0,
4,FORD, FALCON XF,15000.0,1985.0,Automatic,Used,Wagon,Unleaded,4100.0,
5,FORD, MUSTANG,45000.0,1973.0,Automatic,Used,Soft Top,Unleaded,,
6,FORD, RANCHERO GT,24000.0,1971.0,Automatic,Used,Ute,,,
7,HSV, GTSR 2,210000.0,2017.0,Automatic,Used,Sedan,Premium Unleaded,6162.0,435
8,IVECO, DAILY,41990.0,2017.0,Automatic,Used,Van,Diesel,0.0,
9,FORD, FAIRLANE SKYLINER,85000.0,1957.0,,Used,Convertible,Unleaded,312.0,245
10,SHELBY, GT500 GT500KR,165000.0,2008.0,Manual Overdrive,Used,Fastback,Premium Unleaded,5400.0,403
11,FORD, 150 Harley Davidson Anniversary,55500.0,2003.0,Automatic,Used,Ute,Premium Unleaded,329.0,283
12,MAZDA, RX7 3,75000.0,1983.0,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
13,CHEVROLET, BELAIR,75000.0,1956.0,Automatic,Used,Sedan,Leaded Petrol,,
14,PONTIAC, GTO,110000.0,1967.0,Manual,Used,Hardtop - Coupe,,,
15,NISSAN, 300ZX Fairlady Z,55000.0,1994.0,Manual,Used,Targa,Unleaded,6.0,215
16,SUBARU, LIBERTY Gt,20000.0,1997.0,Manual,Used,Sedan,Unleaded,2000.0,
17,HSV, GTS Gen F2,124995.0,2015.0,Automatic,Used,Sedan,Premium Unleaded,,
18,MORRIS, MINI DELUXE,25000.0,1968.0,Manual,Used,Sedan,Leaded Petrol,998.0,
19,JAGUAR, E-TYPE II,169000.0,1969.0,Automatic,Used,Fastback,Premium Unleaded,,
20,OLDSMOBILE, F36,30000.0,1936.0,Manual,Used,Sedan,Premium Unleaded,3500.0,70
21,MERCEDES-BENZ, CLK55 AMG,35999.0,2000.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,5.4L
22,CHEVROLET, CAMARO,88000.0,1968.0,Automatic,Used,Convertible,Unleaded,,
23,CHRYSLER, LEBARON Medallion,37000.0,1978.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,225.0,67kw
24,LOTUS, 61,65000.0,1969.0,,Used,Open Wheeler,,,
25,MERCEDES-BENZ, 300CE,22000.0,,Automatic,Used,Hardtop - Coupe,,,
26,DODGE, DART,39000.0,1973.0,Automatic,Used,Hardtop - Coupe,,5896.0,
27,MERCEDES-BENZ, E270 CDI,16999.0,,Sequential Manual Auto,Used,Sedan,Diesel,2700.0,
28,FORD, ROADSTER,40000.0,,Automatic,Used,Roadster,Unleaded,,
29,FORD, F SERIES F250 custom xlt,57500.0,1976.0,Automatic,Used,Style Side,Premium Unleaded,7800.0,350
30,HOLDEN, HR,40500.0,1966.0,Manual,Used,Ute,Premium Unleaded,,186
31,PONTIAC, GTO,110000.0,1967.0,Manual,Used,Hardtop - Coupe,,,
32,KOPELKE KITCARS, GT40,24000.0,,,New,Hardtop - Coupe,,,
33,CHEVROLET, BEL AIR,95000.0,1955.0,,Used,Hardtop - Coupe,Premium Unleaded,350.0,290
34,MERCEDES-BENZ, 300SEL W109,52000.0,1970.0,Automatic,Used,Sedan,Premium Unleaded,3475.0,156
35,HSV, CLUBSPORT R8 30th Anniversary Tourer,154500.0,2017.0,Automatic,Used,Wagon,Premium Unleaded,,
36,MERCEDES-AMG, C63 S C,114988.0,2017.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
37,HOLDEN, CALAIS-V Vf,35000.0,2014.0,Sportmatic,Used,Sedan,Premium Unleaded,,300
38,VOLKSWAGEN, 1500 Beetle,25000.0,1965.0,Manual,Used,Sedan,Unleaded,1600.0,55
39,FORD, LTD XF,23400.0,1985.0,Automatic,Used,Wagon,Unleaded,,117
40,FORD, ROADSTER,160000.0,1937.0,Automatic,Used,Roadster,,,
41,SUBARU, BRUMBY,18000.0,1992.0,Manual,Used,Ute,Premium Unleaded,2000.0,
42,FORD, ROADSTER,40000.0,,Automatic,Used,Roadster,Unleaded,,
43,NISSAN, 720 Sports kingcab,8500.0,1986.0,Manual,Used,Ute,Leaded Petrol,22.0,
44,HONDA, JAZZ,8500.0,2018.0,Automatic,Used,Hatchback,Dual Fuel,,V6
45,CHRYSLER, IMPERIAL Crown,17500.0,1963.0,Automatic,Used,Limousine,Leaded Petrol,413.0,450
46,MORGAN, 4/4 V,50000.0,1966.0,Manual,Used,Convertible,Leaded Petrol,1500.0,
47,CHEVROLET, CORVETTE C3,35000.0,1975.0,Manual,Used,Hardtop - Coupe,Unleaded,350.0,
48,MERCEDES-BENZ, 420SEL 420 SEL,18000.0,1989.0,Automatic,Used,Sedan,Unleaded,4200.0,
49,HOLDEN, COMMODORE SLE,30000.0,1983.0,Automatic,Used,Sedan,LPG,,
50,HOLDEN, SANDMAN wb,35000.0,1980.0,Automatic,Used,Panel Van,Unleaded,202.0,
51,AUSTIN HEALEY, BN7 2,85000.0,1963.0,Manual Overdrive,Used,Convertible,Unleaded,3000.0,
52,NISSAN, 300ZX,4500.0,1985.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
53,FORD, TORINO GT,28000.0,1968.0,Automatic,Used,Hardtop - Coupe,Unleaded,,
54,FERRARI, DAYTONA,46995.0,1975.0,Automatic,Used,Convertible,Unleaded,,
55,HUDSON, SUPER 6,37000.0,,Manual,Used,Sedan,Unleaded,,
56,DAIHATSU, TAFT F20,18000.0,1978.0,Manual,Used,Open Wheeler,Unleaded,1600.0,60
57,FORD, MUSTANG ALLAN MOFFAT TRIBUTE,155000.0,1969.0,,Used,Fastback,,,
58,FORD, MUSTANG ROUSH RS3,132000.0,2019.0,Manual,Used,Fastback,Premium Unleaded,5000.0,530
59,HOLDEN, COMMODORE Ve ssv,32000.0,2010.0,Manual,Used,Ute,Premium Unleaded,6000.0,
60,HOLDEN, MONARO HG GTS,284888.0,1970.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350.0,
61,OLDSMOBILE, F36,30000.0,1936.0,Manual,Used,Sedan,Premium Unleaded,3500.0,70
62,HOLDEN, FC,210000.0,1958.0,Manual,Used,Ute,Premium Unleaded,,
63,JAGUAR, D-TYPE REPLICA,26000.0,,,New,Roadster,,,
64,MERCEDES-BENZ, 300CE,22000.0,,Automatic,Used,Hardtop - Coupe,,,
65,FORD, TRANSIT,8900.0,,Manual,Used,Tray,Unleaded,,
66,JAGUAR, XKR,60000.0,1999.0,Automatic,Used,Convertible,Premium Unleaded,4000.0,370 HP
67,FORD, CORTINA 440,7500.0,1968.0,Automatic,Used,Sedan,Leaded Petrol,1600.0,162.0
68,FORD, MUSTANG FASTBACK,95000.0,1969.0,Automatic,Used,Fastback,Premium Unleaded,,
69,LEYLAND, P76 EXECUTIVE,32000.0,,Automatic,Used,Sedan,Premium Unleaded,4416.0,
70,PONTIAC, GRANDVILLE,36500.0,1973.0,Automatic,Used,Convertible,,,
71,DODGE, AT4 RAM,5500.0,1972.0,Manual,Used,Panel Van,Leaded Petrol,265.0,
72,HOLDEN, MONARO HG GTS,284888.0,1970.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350.0,
73,VOLKSWAGEN, KOMBI T2,69999.0,1974.0,Manual,Used,Van,Premium Unleaded,2000.0,
74,FORD, SHELBY GT500 Super Snake,260000.0,2014.0,Manual,Used,Fastback,Premium Unleaded,5800.0,850hp
75,TRIUMPH, TR6 Convertible,45500.0,1973.0,Manual,Used,Convertible,Premium Unleaded,2500.0,108
76,FORD, MUSTANG,26500.0,1967.0,Automatic,Used,Hardtop - Coupe,,,
77,FORD, T MODEL,255000.0,1920.0,,Used,Tourer,Premium Unleaded,,
78,MORRIS, MINOR 4,2000020000.0,1961.0,Manual,Used,Sedan,Leaded Petrol,948.0,
79,JAGUAR, XJS,38500.0,1986.0,Automatic,Used,Sedan,Unleaded,5344.0,
80,MITSUBISHI, 380,39000.0,2008.0,Automatic,Used,Sedan,Premium Unleaded,3800.0,230
81,LINCOLN, CONTINENTAL,52500.0,1965.0,Automatic,Used,Convertible,Unleaded,,
82,MERCEDES-BENZ, CLK55 AMG,35999.0,2000.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,5.4L
83,AUSTIN HEALEY, 3000 BJ7,89500.0,1963.0,Manual,Used,Convertible,Unleaded,2962.0,
84,CHEVROLET, IMPALA,104990.0,1960.0,Automatic,Used,Hardtop - Coupe,,,
85,CADILLAC, COUPE DE VILLE,45000.0,1967.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,
86,CHRYSLER, CH,35000.0,,Automatic,Used,Sedan,Premium Unleaded,318.0,
87,JAGUAR, XJ6 XJ40 Sovereign,25000.0,1991.0,,Used,Sedan,Unleaded,4000.0,
88,CHEVROLET, COUPE,154990.0,1934.0,,Used,Roadster,,,
89,CHEVROLET, CORVETTE,55000.0,2020.0,Automatic,Used,Hardtop - Coupe,Dual Fuel,,
90,HOLDEN, FC,45000.0,1958.0,Manual,Used,Sedan,Unleaded,,
91,DAYTONA, COUPE,175000.0,,Sequential Sports Shift,Used,Hardtop - Coupe,Premium Unleaded,7000.0,410
92,CHRYSLER, VALIANT AP5,47000.0,1965.0,Automatic,Used,Sedan,Leaded Petrol,,
93,HOLDEN, CALAIS SV 150,35000.0,1989.0,Automatic,Used,Sedan,Unleaded,5000.0,180
94,TRIUMPH, TR6 Convertible,45500.0,1973.0,Manual,Used,Convertible,Premium Unleaded,2500.0,108
95,FORD, UTE BODY,8000.0,1938.0,,Used,Ute,,,
96,MG, BGT,26000.0,1975.0,Manual Overdrive,Used,Hardtop - Coupe,Premium Unleaded,,
97,MERCURY, CLASSIC CRUISER,59500.0,1957.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5100.0,
98,FORD, F SERIES F250 custom xlt,57500.0,1976.0,Automatic,Used,Style Side,Premium Unleaded,7800.0,350
99,HOLDEN, HJ Kingswood,21500.0,1975.0,Automatic,Used,Ute,Leaded Petrol,5.0,
100,CITROEN, CX 2500 Gti,22500.0,1985.0,Automatic,Used,Fastback,Unleaded,2500.0,101KW
101,WESTFIELD, CLUBMAN,29950.0,1984.0,Manual,Used,Roadster,Unleaded,1558.0,120
102,FORD, PICKUP,50000.0,1932.0,,Used,Roadster,,,
103,LOLA, T200,36000.0,1970.0,Manual,Used,Open Wheeler,Ethanol,1600.0,
104,CADILLAC, SERIES 62,160000.0,,Automatic,Used,Sedan,Unleaded,390.0,
105,CHEVROLET, SILVERADO 1500,44900.0,,Automatic,Used,Ute,Unleaded,350.0,
106,FORD, MUSTANG,26500.0,1967.0,Automatic,Used,Hardtop - Coupe,,,
107,DRB, 540 1 of 1,180000.0,2009.0,Manual,Used,Convertible,Premium Unleaded,540.0,330
108,LOTUS, SEVEN,65000.0,,Manual,Used,Convertible,,,
109,DODGE, PHOENIX,27400.0,1969.0,Automatic,Used,Sedan,Unleaded,5200.0,
110,HOLDEN, ONE TONNER HX,28000.0,1977.0,Automatic,Used,Ute,Leaded Petrol,,
111,BMW, Z4 E89,38750.0,2010.0,Automatic,Used,Roadster,Premium Unleaded,3000.0,190
112,LINCOLN, CONTINENTAL,70000.0,,Automatic,Used,Convertible,Premium Unleaded,460.0,
113,FORD, F100,100000.0,1951.0,Automatic,Used,Ute,Dual Fuel,351.0,
114,FORD, F100 XLT,42000.0,1979.0,Manual,Used,Ute,Dual Fuel,351.0,5766.0
115,FORD, DELUXE,52000.0,1939.0,Manual,Used,Convertible,Premium Unleaded,,
116,CHRYSLER, 300C,110000.0,2007.0,Automatic,Used,Limousine,Diesel,,
117,HOLDEN, KINGSWOOD HX,16000.0,1976.0,Automatic,Used,Wagon,Unleaded,,
118,LOTUS, 61,65000.0,1969.0,,Used,Open Wheeler,,,
119,DODGE, AT4 114,55000.0,1967.0,Automatic,Used,Ute,Premium Unleaded,318.0,350 hp
120,MERCEDES-BENZ, 190E,20000.0,1987.0,Automatic,Used,Sedan,Premium Unleaded,,2.6
121,MAZDA, RX7 3,75000.0,1983.0,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
122,FORD, MUSTANG,42000.0,1966.0,Manual,Used,Hardtop - Coupe,,4727.0,
123,MORRIS, MINI DELUXE,25000.0,1968.0,Manual,Used,Sedan,Leaded Petrol,998.0,
124,FORD, SEDAN XB GT,155990.0,1974.0,Automatic,Used,Sedan,,,
125,FORD, FALCON 500 XA XA GS,57500.0,1973.0,Manual,Used,Ute,Unleaded,5800.0,
126,CUSTOM, SPORTS COUPE,21000.0,1948.0,Manual,Used,Tourer,Unleaded,,
127,CUSTOM,  X7,65000.0,2003.0,Manual,Used,Roadster,Premium Unleaded,,
128,OLDSMOBILE, TORONADO,49500.0,1968.0,Automatic,Used,Hardtop - Coupe,Unleaded,7456.0,
129,CUSTOM, TRIBILDA ICV Trike,55000.0,1994.0,Manual,Used,Convertible,Premium Unleaded,1100.0,67
130,FORD, CORTINA 440,7500.0,1968.0,Automatic,Used,Sedan,Leaded Petrol,1600.0,162.0
131,HOLDEN, COMMODORE SS SS V Redline VF Series II Auto MY17,73000.0,2017.0,Automatic,Used,Sedan,,,
132,HSV, SENATOR VY II SERIES 2,37500.0,2004.0,Automatic,Used,Sedan,Premium Unleaded,5700.0,
133,SUBARU, BRUMBY,18000.0,1992.0,Manual,Used,Ute,Premium Unleaded,2000.0,
134,FORD, CORTINA Mk 2,25000.0,1968.0,Automatic,Used,Sedan,Leaded Petrol,,
135,HOLDEN, BROUGHAM,20000.0,,Automatic,Used,Sedan,Leaded Petrol,,
136,NISSAN, 200SX S15,49900.0,2000.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,2000.0,
137,HOLDEN, KINGSWOOD HZ,29888.0,1979.0,Automatic,Used,Wagon,Premium Unleaded,308.0,
138,FORD, FAIRMONT GXL,48000.0,1977.0,Automatic,Used,Sedan,Unleaded,,
139,CHEVROLET, 1100,34000.0,1954.0,Manual,Used,Tray,Unleaded,,
140,CUSTOM, SPORTS COUPE,21000.0,1948.0,Manual,Used,Tourer,Unleaded,,
141,FORD, MUSTANG ROUSH RS3,132000.0,2019.0,Manual,Used,Fastback,Premium Unleaded,5000.0,530
142,FORD, MUSTANG,45000.0,1973.0,Automatic,Used,Soft Top,Unleaded,,
143,JAGUAR, XKR,60000.0,1999.0,Automatic,Used,Convertible,Premium Unleaded,4000.0,370 HP
144,CUSTOM,  X7,65000.0,2003.0,Manual,Used,Roadster,Premium Unleaded,,
145,DODGE, VIPER RT/10,95000.0,1994.0,Manual,Used,Convertible,Unleaded,,298.5
146,VOLKSWAGEN, MICROBUS,135000.0,,Manual,Used,Wagon,Premium Unleaded,2375.0,
147,FORD, LIMOUSINE,135000.0,1931.0,Automatic,Used,Limousine,LPG,,
148,FORD, UTE BODY,8000.0,1938.0,,Used,Ute,,,
149,FORD, MUSTANG Fastback,190000.0,1966.0,Automatic,Used,Fastback,Unleaded,347.0,
150,HOLDEN, COMMODORE VN,4800048000.0,1991.0,Automatic,Used,Sedan,Unleaded,5.0,180
151,HSV, CLUBSPORT R8 VF,71990.0,2014.0,Automatic,Used,Wagon,Premium Unleaded,6200.0,340
152,FERRARI, 328GTS,185000.0,1989.0,Manual,Used,Targa,Unleaded,3185.0,
153,HOLDEN, MONARO V2,90000.0,2002.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,5700.0,225
154,HOLDEN, HQ PREMIER,54888.0,1973.0,Automatic,Used,Sedan,Unleaded,253.0,
155,HSV, SENATOR VY II SERIES 2,37500.0,2004.0,Automatic,Used,Sedan,Premium Unleaded,5700.0,
156,CHEVROLET, CHEVELLE,48000.0,1970.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5700.0,
157,VOLKSWAGEN, KOMBI T2,69999.0,1974.0,Manual,Used,Van,Premium Unleaded,2000.0,
158,HOLDEN, HSV VR SENATOR,72000.0,1994.0,Automatic,Used,Sedan,Premium Unleaded,,
159,HOLDEN, PREMIER LS3 Turbo,130000.0,1975.0,Automatic,Used,Sedan,Ethanol,6200.0,545
160,HOLDEN, CALAIS-V Vf,35000.0,2014.0,Sportmatic,Used,Sedan,Premium Unleaded,,300
161,CHEVROLET, BEL AIR,95000.0,1955.0,,Used,Hardtop - Coupe,Premium Unleaded,350.0,290
162,CUSTOM, TRIBILDA ICV Trike,55000.0,1994.0,Manual,Used,Convertible,Premium Unleaded,1100.0,67
163,MORGAN, 4/4 V,50000.0,1966.0,Manual,Used,Convertible,Leaded Petrol,1500.0,
164,FERRARI, DAYTONA,46995.0,1975.0,Automatic,Used,Convertible,Unleaded,,
165,PEUGEOT, 504 GLD,15800.0,1981.0,Manual,Used,Sedan,Diesel,2304.0,
166,MAZDA, 1000,35000.0,1972.0,Manual,Used,Sedan,Unleaded,,
167,DODGE, PHOENIX,27400.0,1969.0,Automatic,Used,Sedan,Unleaded,5200.0,
168,FORD, MUSTANG GT GT 35th anniversary,60000.0,2000.0,Automatic,Used,Convertible,Premium Unleaded,,190
169,AC, COBRA,70000.0,1995.0,Automatic,Used,Soft Top,Premium Unleaded,4900.0,
170,FORD, FALCON XW GT,159995.0,1970.0,Manual,Used,Sedan,Unleaded,,282
171,HOLDEN, TORANA LH,235000.0,1974.0,Manual,Used,Sedan,Premium Unleaded,308.0,280
172,CHEVROLET, COUPE,154990.0,1934.0,,Used,Roadster,,,
173,CHEVROLET, CHEVELLE 396 SS TRIBUTE,89900.0,1968.0,Manual,Used,Hardtop - Coupe,,5989.0,
174,FORD, MUSTANG Coupe,90000.0,1967.0,Automatic,Used,Hardtop - Coupe,Premium Unleaded,351.0,
175,OLDSMOBILE, TORONADO,49500.0,1968.0,Automatic,Used,Hardtop - Coupe,Unleaded,7456.0,
176,JAGUAR, D-TYPE REPLICA,26000.0,,,New,Roadster,,,
177,HOLDEN, HJ Kingswood,21500.0,1975.0,Automatic,Used,Ute,Leaded Petrol,5.0,
178,VOLKSWAGEN, JETTA Mk V,11000.0,2007.0,Tiptronic,Used,Sedan,Premium Unleaded,2000.0,240
179,HOLDEN, FC,45000.0,1958.0,Manual,Used,Sedan,Unleaded,,
180,MERCEDES-BENZ, 420SEL 420 SEL,18000.0,1989.0,Automatic,Used,Sedan,Unleaded,4200.0,
181,HUMBER, SUPER SNIPE,26995.0,1963.0,Automatic,Used,Sedan,Unleaded,,
182,FORD, MUSTANG FASTBACK,95000.0,1969.0,Automatic,Used,Fastback,Premium Unleaded,,
183,HOLDEN, SANDMAN wb,35000.0,1980.0,Automatic,Used,Panel Van,Unleaded,202.0,
184,CHEVROLET, CORVETTE,55000.0,2020.0,Automatic,Used,Hardtop - Coupe,Dual Fuel,,
185,BMW, Z3,28000.0,1997.0,Manual,Used,Convertible,Unleaded,2.0,
186,DRB, 540 1 of 1,180000.0,2009.0,Manual,Used,Convertible,Premium Unleaded,540.0,330
187,HOLDEN, KINGSWOOD HX,16000.0,1976.0,Automatic,Used,Wagon,Unleaded,,
188,CHRYSLER, 300C,110000.0,2007.0,Automatic,Used,Limousine,Diesel,,
189,CADILLAC, COUPE DE VILLE,45000.0,1967.0,Automatic,Used,Hardtop - Coupe,Leaded Petrol,,
190,HOLDEN, COMMODORE,11000.0,2010.0,Manual,Used,Sedan,,,SV6
191,BMW, 328I,13000.0,1998.0,,Used,Hardtop - Coupe,,,
192,MERCEDES-BENZ, 350SLC 107,23000.0,1974.0,Automatic,Used,Hardtop - Coupe,,3500.0,
193,MAZDA, 626,20000.0,1982.0,Manual,Used,Sedan,Unleaded,4600.0,
194,JAGUAR, XJ6 XJ40 Sovereign,25000.0,1991.0,,Used,Sedan,Unleaded,4000.0,
195,BMW, Z4 E89,38750.0,2010.0,Automatic,Used,Roadster,Premium Unleaded,3000.0,190
196,CHRYSLER, VALIANT VC Safari wagon,40000.0,1967.0,,Used,Wagon,,,
197,FORD, XC Falcon,10000.0,1977.0,Manual,Used,Ute,Unleaded,4100.0,157kw
198,NISSAN, 720 Sports kingcab,8500.0,1986.0,Manual,Used,Ute,Leaded Petrol,22.0,
199,CHEVROLET, 3100,99995.0,1957.0,Automatic,Used,Ute,Unleaded,,
200,FLINT, RACER-SPEEDSTER Special,54999.0,1926.0,Manual,Used,Roadster,Unleaded,,
201,FORD, A MODEL Sports Coupe,37000.0,1931.0,Manual,Used,Ute,Unleaded,,
202,FORD, FALCON XR8 3,75000.0,2002.0,Manual,Used,Sedan,Premium Unleaded,5000.0,220
203,FORD, HI-BOY ROADSTER,55000.0,1932.0,Automatic,Used,Roadster,Unleaded,350.0,
204,FORD, FALCON Xg,9000.0,1995.0,Automatic,Used,Ute,Unleaded,,
205,CHRYSLER, VALIANT VC Safari wagon,40000.0,1967.0,,Used,Wagon,,,
206,PONTIAC, GRANDVILLE,36500.0,1973.0,Automatic,Used,Convertible,,,
207,MG, B,18500.0,1975.0,Manual Overdrive,Used,Roadster,Unleaded,1798.0,
208,CHEVROLET, SEDAN Streetrod,39800.0,1947.0,Automatic,Used,Sedan,,308.0,
209,HOLDEN, COMMODORE,11000.0,2010.0,Manual,Used,Sedan,,,SV6
